InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,UnitPrice_LKR,Total_Price_LKR,District
530001,40003,DILMAH GREEN TEA 20 BAGS,5,2020-01-08 12:28:12,3.0,301039.0,550.0,2750.0,Kegalle
530002,40034,HARISCHANDRA COFFEE 100G,2,2020-01-09 18:15:59,2.07,301045.0,380.0,760.0,Polonnaruwa
530003,40042,MARINA COCONUT OIL 1L,4,2020-01-10 17:32:13,5.18,301178.0,950.0,3800.0,Badulla
530004,40014,SPA CEYLON HAND CREAM,3,2020-01-11 13:25:03,11.99,301110.0,2200.0,6600.0,Gampaha
530005,40083,BOGAWANTALAWA TEA 400G,3,2020-01-14 10:55:00,4.9,301108.0,900.0,2700.0,Kurunegala
530006,40037,MOTHA STRAWBERRY JELLY 100G,1,2020-01-17 16:37:38,0.65,,120.0,120.0,Matara
530007,40001,DILMAH CEYLON TEA 500G,5,2020-01-21 09:06:02,6.54,301045.0,1200.0,6000.0,Jaffna
530008,40005,WATAWALA TEA 400G,3,2020-01-21 11:50:02,4.25,,780.0,2340.0,Batticaloa
530009,40003,DILMAH GREEN TEA 20 BAGS,1,2020-01-22 12:43:11,3.0,301088.0,550.0,550.0,Matara
530010,40019,ELEPHANT HOUSE GINGER BEER 1.5L,5,2020-01-23 10:52:44,2.18,301215.0,400.0,2000.0,Gampaha
530011,40001,DILMAH CEYLON TEA 500G,3,2020-01-23 16:02:17,6.54,301033.0,1200.0,3600.0,Galle
530012,40022,ANCHOR MILK POWDER 400G,20,2020-01-27 20:51:48,6.27,301169.0,1150.0,23000.0,Colombo
530013,40009,MUNCHEE TIKIRI MARIE 80G,3,2020-01-28 15:49:36,0.38,301161.0,70.0,210.0,Gampaha
530014,40023,RATHTHI MILK POWDER 400G,2,2020-01-29 11:00:13,5.99,301042.0,1100.0,2200.0,Kalutara
530015,40013,SPA CEYLON SLEEP BODY LOTION,2,2020-01-29 20:05:22,19.07,301015.0,3500.0,7000.0,Batticaloa
530016,40049,ROZA PASTA MACARONI 400G,2,2020-01-29 20:50:34,1.63,301118.0,300.0,600.0,Jaffna
530017,40038,MOTHA FALUDA MIX 100G,8,2020-02-01 09:27:42,1.09,301107.0,200.0,1600.0,Ampara
530018,40034,HARISCHANDRA COFFEE 100G,6,2020-02-03 18:43:01,2.07,,380.0,2280.0,Kandy
530019,40013,SPA CEYLON SLEEP BODY LOTION,4,2020-02-08 08:07:09,19.07,301176.0,3500.0,14000.0,Jaffna
530020,40024,HIGHLAND MILK 1L,10,2020-02-08 13:10:16,2.18,301012.0,400.0,4000.0,Kalutara
530021,40037,MOTHA STRAWBERRY JELLY 100G,2,2020-02-10 13:54:22,0.65,,120.0,240.0,Gampaha
530022,40064,HORLICKS 500G,2,2020-02-12 19:45:26,5.18,,950.0,1900.0,Kalutara
530023,40002,DILMAH EARL GREY TEA 50 BAGS,6,2020-02-14 13:23:40,4.63,301077.0,850.0,5100.0,Gampaha
530024,40006,MUNCHEE SUPER CREAM CRACKER 500G,4,2020-02-15 19:33:25,2.45,301161.0,450.0,1800.0,Jaffna
530025,40072,FUN FOODS MAYONNAISE 250G,3,2020-02-20 10:43:43,2.67,301163.0,490.0,1470.0,Kalutara
530026,40042,MARINA COCONUT OIL 1L,8,2020-02-24 10:32:19,5.18,301080.0,950.0,7600.0,Nuwara Eliya
530027,40058,DIVA WASHING POWDER 1KG,2,2020-02-26 14:34:34,3.54,301046.0,650.0,1300.0,Ratnapura
530028,40046,MARMITE 100G,3,2020-02-27 09:51:04,4.09,301035.0,750.0,2250.0,Kegalle
530029,40002,DILMAH EARL GREY TEA 50 BAGS,3,2020-03-02 17:03:54,4.63,301212.0,850.0,2550.0,Moneragala
530030,40001,DILMAH CEYLON TEA 500G,1,2020-03-08 09:59:56,6.54,,1200.0,1200.0,Galle
530031,40011,MALIBAN LEMON PUFF 200G,5,2020-03-09 09:10:38,1.09,301051.0,200.0,1000.0,Kurunegala
