InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,UnitPrice_LKR,Total_Price_LKR,District
550001,40070,NESPRAY MILK POWDER 400G,3,2020-01-02 11:00:25,6.43,501068.0,1180.0,3540.0,Trincomalee
550002,40017,MD MIXED FRUIT JAM 500G,2,2020-01-05 19:45:24,3.54,501002.0,650.0,1300.0,Batticaloa
550003,40006,MUNCHEE SUPER CREAM CRACKER 500G,2,2020-01-10 14:36:54,2.45,501017.0,450.0,900.0,Ampara
550004,40042,MARINA COCONUT OIL 1L,6,2020-01-11 14:30:48,5.18,501123.0,950.0,5700.0,Kegalle
550005,40005,WATAWALA TEA 400G,4,2020-01-12 08:02:27,4.25,,780.0,3120.0,Colombo
550006,40002,DILMAH EARL GREY TEA 50 BAGS,1,2020-01-12 18:25:31,4.63,501131.0,850.0,850.0,Mullaitivu
550007,40020,ELEPHANT HOUSE CREAM SODA 1.5L,3,2020-01-16 12:40:23,2.18,501130.0,400.0,1200.0,Gampaha
550008,40001,DILMAH CEYLON TEA 500G,2,2020-01-17 15:12:56,6.54,501031.0,1200.0,2400.0,Hambantota
550009,40055,LIFEBUOY SOAP 100G,10,2020-01-19 11:06:20,0.71,501020.0,130.0,1300.0,Jaffna
550010,40019,ELEPHANT HOUSE GINGER BEER 1.5L,5,2020-01-21 10:53:37,2.18,501184.0,400.0,2000.0,Colombo
550011,40086,FITS COOKING OIL 1L,1,2020-01-21 17:38:55,5.99,501045.0,1100.0,1100.0,Batticaloa
550012,40013,SPA CEYLON SLEEP BODY LOTION,3,2020-01-21 18:00:49,19.07,501014.0,3500.0,10500.0,Kegalle
550013,40044,HAPPY COW CHEESE 120G,8,2020-01-22 15:16:11,4.63,501070.0,850.0,6800.0,Colombo
C550014,40025,KOTMALE FRESH MILK 1L,-2,2020-01-23 08:12:50,2.45,501015.0,450.0,-900.0,Hambantota
550015,40039,CLOGARD TOOTHPASTE 120G,3,2020-01-23 16:10:00,1.2,501086.0,220.0,660.0,Puttalam
550016,40004,ZESTA TEA 400G,8,2020-01-24 19:43:55,5.72,501196.0,1050.0,8400.0,Batticaloa
550017,40023,RATHTHI MILK POWDER 400G,3,2020-01-29 19:49:55,5.99,,1100.0,3300.0,Kurunegala
550018,40002,DILMAH EARL GREY TEA 50 BAGS,3,2020-02-01 09:28:25,4.63,501148.0,850.0,2550.0,Kilinochchi
550019,40024,HIGHLAND MILK 1L,1,2020-02-01 15:08:38,2.18,501030.0,400.0,400.0,Badulla
550020,40076,CEYLON COLD STORES YOGHURT 80G,10,2020-02-04 14:12:09,0.49,501138.0,90.0,900.0,Jaffna
550021,40055,LIFEBUOY SOAP 100G,2,2020-02-06 08:49:21,0.71,501128.0,130.0,260.0,Gampaha
550022,40019,ELEPHANT HOUSE GINGER BEER 1.5L,1,2020-02-06 19:44:16,2.18,501084.0,400.0,400.0,Gampaha
550023,40024,HIGHLAND MILK 1L,3,2020-02-07 09:20:17,2.18,501072.0,400.0,1200.0,Galle
550024,40051,LANKA SOY CHICKEN FLAVOUR 90G,6,2020-02-08 17:15:30,0.65,501014.0,120.0,720.0,Mannar
550025,40014,SPA CEYLON HAND CREAM,5,2020-02-09 16:44:36,11.99,501073.0,2200.0,11000.0,Badulla
550026,40004,ZESTA TEA 400G,1,2020-02-11 12:28:02,5.72,501106.0,1050.0,1050.0,Colombo
550027,40043,ASTRA MARGARINE 250G,12,2020-02-12 14:46:59,2.18,,400.0,4800.0,Hambantota
550028,40002,DILMAH EARL GREY TEA 50 BAGS,6,2020-02-14 10:23:33,4.63,,850.0,5100.0,Polonnaruwa
550029,40002,DILMAH EARL GREY TEA 50 BAGS,3,2020-02-17 11:54:55,4.63,501011.0,850.0,2550.0,Kegalle
550030,40017,MD MIXED FRUIT JAM 500G,3,2020-02-17 19:44:34,3.54,501125.0,650.0,1950.0,Galle
550031,40025,KOTMALE FRESH MILK 1L,2,2020-02-20 11:16:28,2.45,501091.0,450.0,900.0,Gampaha
550032,40016,LINK SAMAHAN BOX (100 PACKETS),5,2020-02-21 10:38:53,8.17,501070.0,1500.0,7500.0,Gampaha
550033,40019,ELEPHANT HOUSE GINGER BEER 1.5L,2,2020-02-22 10:22:13,2.18,501162.0,400.0,800.0,Ratnapura
550034,40040,SIGNAL TOOTHPASTE 120G,4,2020-03-01 11:02:46,1.25,501029.0,230.0,920.0,Kandy
550035,40003,DILMAH GREEN TEA 20 BAGS,3,2020-03-01 19:16:33,3.0,501118.0,550.0,1650.0,Ratnapura
