InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,UnitPrice_LKR,Total_Price_LKR,District
520001,40005,WATAWALA TEA 400G,8,2020-01-03 15:13:36,4.25,201191.0,780.0,6240.0,Gampaha
520002,40007,MUNCHEE CHOCOLATE BISCUIT 200G,10,2020-01-08 14:25:26,1.2,201175.0,220.0,2200.0,Nuwara Eliya
520003,40036,MAGGI COCONUT MILK POWDER 300G,2,2020-01-13 16:18:32,4.09,,750.0,1500.0,Kandy
520004,40021,ELEPHANT HOUSE VANILLA ICE CREAM 1L,1,2020-01-14 18:20:30,4.36,,800.0,800.0,Hambantota
520005,40088,CARGILLS FRESH EGGS (10),10,2020-01-16 19:44:04,1.91,201033.0,350.0,3500.0,Colombo
520006,40006,MUNCHEE SUPER CREAM CRACKER 500G,3,2020-01-17 13:23:17,2.45,201012.0,450.0,1350.0,Galle
520007,40038,MOTHA FALUDA MIX 100G,2,2020-01-19 11:01:10,1.09,,200.0,400.0,Mullaitivu
520008,DELV,COURIER DELIVERY CHARGE,3,2020-01-20 16:10:45,3.0,,550.5,1651.5,Kegalle
520009,40009,MUNCHEE TIKIRI MARIE 80G,2,2020-01-21 14:15:04,0.38,201159.0,70.0,140.0,Mannar
520010,40008,MUNCHEE LEMON PUFF 200G,20,2020-01-22 20:38:14,1.09,201066.0,200.0,4000.0,Moneragala
520011,40008,MUNCHEE LEMON PUFF 200G,2,2020-01-23 12:20:26,1.09,201148.0,200.0,400.0,Gampaha
520012,40010,MALIBAN MARIE BISCUITS 400G,1,2020-01-25 16:23:24,1.91,201119.0,350.0,350.0,Kalutara
520013,40057,VIM DISHWASH LIQUID 500ML,5,2020-01-30 10:56:24,2.45,201156.0,450.0,2250.0,Kalutara
520014,40046,MARMITE 100G,1,2020-02-04 10:13:11,4.09,,750.0,750.0,Colombo
520015,40075,RANMUTHU RICE 5KG,1,2020-02-07 17:53:44,8.17,201052.0,1500.0,1500.0,Gampaha
520016,40068,CLOSE UP TOOTHPASTE 120G,1,2020-02-08 12:34:45,1.28,201202.0,235.0,235.0,Gampaha
520017,40056,SUNSILK BLACK SHAMPOO 200ML,2,2020-02-10 13:22:08,3.0,201027.0,550.0,1100.0,Kilinochchi
520018,40007,MUNCHEE CHOCOLATE BISCUIT 200G,12,2020-02-11 13:02:35,1.2,201067.0,220.0,2640.0,Ampara
520019,40065,FAIR & LOVELY CREAM 50G,1,2020-02-13 08:31:41,1.74,201017.0,320.0,320.0,Matara
520020,40058,DIVA WASHING POWDER 1KG,3,2020-02-13 13:07:12,3.54,201014.0,650.0,1950.0,Colombo
520021,40003,DILMAH GREEN TEA 20 BAGS,3,2020-02-13 14:43:55,3.0,201189.0,550.0,1650.0,Jaffna
520022,40022,ANCHOR MILK POWDER 400G,5,2020-02-17 19:14:38,6.27,201065.0,1150.0,5750.0,Hambantota
520023,40015,SIDDHALEPA BALM 50G,10,2020-02-17 19:28:29,1.36,201213.0,250.0,2500.0,Batticaloa
520024,40001,DILMAH CEYLON TEA 500G,3,2020-02-18 15:53:43,6.54,,1200.0,3600.0,Ratnapura
520025,40011,MALIBAN LEMON PUFF 200G,8,2020-02-19 08:21:05,1.09,201154.0,200.0,1600.0,Kalutara
520026,40069,ANCHOR BUTTER 200G,2,2020-02-19 13:11:59,4.25,201160.0,780.0,1560.0,Anuradhapura
520027,40003,DILMAH GREEN TEA 20 BAGS,4,2020-02-22 17:06:50,3.0,201189.0,550.0,2200.0,Kalutara
520028,40026,KITHUL TREACLE 750ML,2,2020-02-26 19:48:32,9.81,201093.0,1800.0,3600.0,Anuradhapura
520029,40018,MD MANGO CHUTNEY 400G,1,2020-02-27 20:20:51,3.54,201016.0,650.0,650.0,Kegalle
520030,40013,SPA CEYLON SLEEP BODY LOTION,5,2020-03-01 14:14:08,19.07,201182.0,3500.0,17500.0,Kandy
520031,40071,MA MA NOODLES 5 PACK,1,2020-03-02 13:57:17,2.18,201071.0,400.0,400.0,Galle
520032,40030,KIST MIXED FRUIT NECTAR 1L,1,2020-03-05 20:59:31,3.0,201124.0,550.0,550.0,Kilinochchi
520033,40001,DILMAH CEYLON TEA 500G,3,2020-03-06 17:18:49,6.54,201011.0,1200.0,3600.0,Nuwara Eliya
520034,40010,MALIBAN MARIE BISCUITS 400G,2,2020-03-06 19:19:58,1.91,201026.0,350.0,700.0,Colombo
520035,40046,MARMITE 100G,10,2020-03-09 12:31:42,4.09,201179.0,750.0,7500.0,Kurunegala
520036,40018,MD MANGO CHUTNEY 400G,2,2020-03-12 11:35:35,3.54,201166.0,650.0,1300.0,Gampaha
520037,40003,DILMAH GREEN TEA 20 BAGS,4,2020-03-12 19:10:08,3.0,201219.0,550.0,2200.0,Moneragala
