InvoiceNo,StockCode,Description,Quantity,InvoiceDate,CustomerID,UnitPrice_LKR,Total_Price_LKR,District
530001,40003,DILMAH GREEN TEA 20 BAGS,5,1/8/20 12:28,301039,550,2750,Kegalle
530002,40034,HARISCHANDRA COFFEE 100G,2,1/9/20 18:15,301045,380,760,Polonnaruwa
530003,40042,MARINA COCONUT OIL 1L,4,1/10/20 17:32,301178,950,3800,Badulla
530004,40014,SPA CEYLON HAND CREAM,3,1/11/20 13:25,301110,2200,6600,Gampaha
530005,40083,BOGAWANTALAWA TEA 400G,3,1/14/20 10:55,301108,900,2700,Kurunegala
530006,40037,MOTHA STRAWBERRY JELLY 100G,1,1/17/20 16:37,,120,120,Matara
530007,40001,DILMAH CEYLON TEA 500G,5,1/21/20 9:06,301045,1200,6000,Jaffna
530008,40005,WATAWALA TEA 400G,3,1/21/20 11:50,,780,2340,Batticaloa
530009,40003,DILMAH GREEN TEA 20 BAGS,1,1/22/20 12:43,301088,550,550,Matara
530010,40019,ELEPHANT HOUSE GINGER BEER 1.5L,5,1/23/20 10:52,301215,400,2000,Gampaha
530011,40001,DILMAH CEYLON TEA 500G,3,1/23/20 16:02,301033,1200,3600,Galle
530012,40022,ANCHOR MILK POWDER 400G,20,1/27/20 20:51,301169,1150,23000,Colombo
530013,40009,MUNCHEE TIKIRI MARIE 80G,3,1/28/20 15:49,301161,70,210,Gampaha
530014,40023,RATHTHI MILK POWDER 400G,2,1/29/20 11:00,301042,1100,2200,Kalutara
530015,40013,SPA CEYLON SLEEP BODY LOTION,2,1/29/20 20:05,301015,3500,7000,Batticaloa
530016,40049,ROZA PASTA MACARONI 400G,2,1/29/20 20:50,301118,300,600,Jaffna
530017,40038,MOTHA FALUDA MIX 100G,8,2/1/20 9:27,301107,200,1600,Ampara
530018,40034,HARISCHANDRA COFFEE 100G,6,2/3/20 18:43,,380,2280,Kandy
530019,40013,SPA CEYLON SLEEP BODY LOTION,4,2/8/20 8:07,301176,3500,14000,Jaffna
530020,40024,HIGHLAND MILK 1L,10,2/8/20 13:10,301012,400,4000,Kalutara
530021,40037,MOTHA STRAWBERRY JELLY 100G,2,2/10/20 13:54,,120,240,Gampaha
530022,40064,HORLICKS 500G,2,2/12/20 19:45,,950,1900,Kalutara
530023,40002,DILMAH EARL GREY TEA 50 BAGS,6,2/14/20 13:23,301077,850,5100,Gampaha
530024,40006,MUNCHEE SUPER CREAM CRACKER 500G,4,2/15/20 19:33,301161,450,1800,Jaffna
530025,40072,FUN FOODS MAYONNAISE 250G,3,2/20/20 10:43,301163,490,1470,Kalutara
530026,40042,MARINA COCONUT OIL 1L,8,2/24/20 10:32,301080,950,7600,Nuwara Eliya
530027,40058,DIVA WASHING POWDER 1KG,2,2/26/20 14:34,301046,650,1300,Ratnapura
530028,40046,MARMITE 100G,3,2/27/20 9:51,301035,750,2250,Kegalle
530029,40002,DILMAH EARL GREY TEA 50 BAGS,3,3/2/20 17:03,301212,850,2550,Moneragala
530030,40001,DILMAH CEYLON TEA 500G,1,3/8/20 9:59,,1200,1200,Galle
530031,40011,MALIBAN LEMON PUFF 200G,5,3/9/20 9:10,301051,200,1000,Kurunegala
530032,40010,MALIBAN MARIE BISCUITS 400G,8,3/9/20 15:42,301022,350,2800,Galle
530033,40060,SUNLIGHT SOAP 115G,5,3/13/20 14:01,301144,120,600,Galle
530034,40077,PILAWOOS FALOODA MIX 200G,3,3/14/20 17:13,301202,350,1050,Kurunegala
530035,40089,KANDOS CHOCOLATE BAR 100G,2,3/17/20 11:38,301014,250,500,Kandy
530036,DELV,COURIER DELIVERY CHARGE,1,3/17/20 15:57,301175,550.5,550.5,Matara
530037,40021,ELEPHANT HOUSE VANILLA ICE CREAM 1L,1,3/18/20 17:52,301089,800,800,Vavuniya
530038,40007,MUNCHEE CHOCOLATE BISCUIT 200G,3,3/19/20 14:34,,220,660,Gampaha
530039,40071,MA MA NOODLES 5 PACK,4,3/21/20 13:05,301159,400,1600,Puttalam
530040,40002,DILMAH EARL GREY TEA 50 BAGS,8,3/24/20 12:40,301003,850,6800,Hambantota
530041,40083,BOGAWANTALAWA TEA 400G,2,3/25/20 11:27,301030,900,1800,Puttalam
530042,40013,SPA CEYLON SLEEP BODY LOTION,2,3/25/20 17:50,301046,3500,7000,Moneragala
530043,40005,WATAWALA TEA 400G,4,3/25/20 18:22,301053,780,3120,Kurunegala
530044,40001,DILMAH CEYLON TEA 500G,6,3/27/20 20:21,301061,1200,7200,Moneragala
530045,40019,ELEPHANT HOUSE GINGER BEER 1.5L,1,3/28/20 12:02,301053,400,400,Ratnapura
530046,40003,DILMAH GREEN TEA 20 BAGS,2,3/28/20 16:45,301028,550,1100,Colombo
530047,40008,MUNCHEE LEMON PUFF 200G,8,3/28/20 17:16,301081,200,1600,Gampaha
530048,40003,DILMAH GREEN TEA 20 BAGS,12,3/29/20 8:17,301150,550,6600,Kandy
530049,40023,RATHTHI MILK POWDER 400G,5,3/29/20 20:26,301158,1100,5500,Polonnaruwa
530050,40034,HARISCHANDRA COFFEE 100G,5,3/30/20 19:03,,380,1900,Hambantota
530051,40078,SOFTLOGIC COCONUT MILK 400ML,8,4/5/20 10:07,301033,320,2560,Anuradhapura
530052,40007,MUNCHEE CHOCOLATE BISCUIT 200G,4,4/6/20 9:46,301103,220,880,Ampara
530053,40077,PILAWOOS FALOODA MIX 200G,1,4/6/20 14:15,,350,350,Matale
